"","20210113_30102534541221-01_P0091-10 LUNG D3 NMC2 30ug.ml_10.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210108_P0090_D3_NMC2_30ugml(1).RCC","20210108_P0090_D3_NMC2_100ugml(1).RCC","20210108_P0090_D0_Control(2).RCC","20210108_P0090_D0_Control(1).RCC","20210108_P0090_D0_Control(3).RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC","20210108_P0090_D3_IFNg_100ngml(1).RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC","20210108_P0090_D3_NMC2_100ugml(1).RCC","20210108_P0090_D3_NMC2_30ugml(1).RCC","20210108_P0090_D3_IFNg_100ngml(1).RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC"
"CCL5 - mRNA",55,32,34,37,47,81,177,105,147,13,16,10,9,19,15,18,16,11,18,35,23,27,91,41,48,44,41,84,33,35
"PDK1 - mRNA",54,52,37,22,36,64,155,107,124,17,11,15,12,19,8,8,7,9,9,21,32,21,106,39,50,56,54,48,20,33
"SAMD9 - mRNA",57,53,32,46,46,105,120,75,102,9,12,19,7,24,10,22,3,7,13,16,20,16,75,37,34,46,32,63,20,28
"DTX3L - mRNA",35,31,52,29,36,98,130,120,123,29,28,21,8,26,9,14,8,17,12,32,24,24,108,36,37,64,27,69,31,24
"TNFRSF1A - mRNA",51,35,43,36,38,71,156,140,112,18,17,22,11,20,9,17,5,15,14,41,15,16,76,40,19,50,42,67,14,21
"STAT2 - mRNA",47,30,55,41,46,74,122,124,107,25,27,16,13,17,26,27,10,22,18,51,19,47,64,46,26,59,38,68,22,26
"REN - mRNA",16,32,14,12,11,23,156,100,153,2,5,8,8,5,9,11,1,7,2,5,7,4,10,7,16,11,7,18,3,5
"SAMSN1 - mRNA",31,18,25,21,21,30,172,167,186,8,16,14,8,15,20,10,4,11,4,10,18,9,24,16,13,27,25,30,19,21
"JAG1 - mRNA",15,16,12,8,21,23,196,149,195,6,7,2,2,2,5,4,3,3,5,14,10,14,42,9,11,12,14,25,8,7
"TNFAIP3 - mRNA",21,15,19,20,20,28,178,131,196,3,10,13,8,5,2,5,7,5,9,21,7,16,49,15,12,25,10,30,9,7
"CXCL10 - mRNA",24,15,76,9,20,28,156,118,72,7,11,10,3,9,18,2,6,4,6,8,7,31,10,99,15,18,13,18,16,12
"FCGR1A - mRNA",56,57,22,37,26,37,156,139,100,19,19,15,14,22,17,11,5,8,9,17,14,18,28,27,70,41,28,38,21,28
"CLEC5A - mRNA",51,44,26,30,34,44,145,125,83,12,21,9,9,25,17,10,4,8,8,18,13,7,45,24,47,48,49,27,25,30
"TMEM173 - mRNA",48,40,42,23,39,50,154,136,121,16,19,18,15,21,8,12,11,18,10,23,18,46,62,22,43,39,36,25,15,21
"FCGR2B - mRNA",40,36,36,36,31,53,186,139,98,23,22,26,10,16,18,12,10,21,10,41,25,35,54,31,26,50,39,38,20,17
"GBP4 - mRNA",42,48,86,14,29,39,173,118,144,5,33,11,8,26,12,16,3,7,8,12,11,17,29,48,43,35,25,17,24,21
"CD69 - mRNA",74,33,29,27,21,39,192,95,132,9,9,20,12,19,3,16,8,6,11,19,22,15,36,31,34,26,18,28,19,17
"CASP1 - mRNA",48,30,31,27,27,41,193,136,131,15,29,21,12,21,25,20,10,20,12,15,18,27,39,27,28,26,29,30,18,24
"CD45RO - mRNA",21,18,23,11,22,26,151,124,101,7,11,10,2,4,8,4,6,7,5,31,11,28,16,7,24,18,19,19,11,15
"ZEB1 - mRNA",18,23,18,28,14,35,147,74,108,9,6,2,5,7,13,10,2,7,9,14,8,3,44,17,17,20,11,22,12,13
"CLEC14A - mRNA",23,20,24,37,32,40,130,103,127,12,6,6,3,12,11,10,6,11,5,16,9,8,39,25,14,30,24,35,16,14
"MRC1 - mRNA",36,23,26,20,28,30,124,98,86,11,14,17,9,6,12,13,10,9,11,22,5,30,35,22,23,32,36,19,20,18
"ITGA4 - mRNA",13,12,22,15,18,23,122,95,100,13,7,7,5,13,10,12,3,6,3,8,10,10,15,16,14,14,22,12,14,13
"ID4 - mRNA",24,15,16,26,25,30,104,82,107,10,9,14,5,9,8,6,4,10,8,18,5,9,23,16,16,17,12,15,10,9
"IRF8 - mRNA",25,17,23,21,16,26,114,112,113,8,13,9,10,9,10,8,5,5,13,22,10,12,41,17,20,19,17,33,12,11
"NECTIN2 - mRNA",30,18,39,22,22,25,112,98,97,9,7,17,7,15,14,11,5,7,12,20,6,11,28,17,7,26,13,27,12,16
"PARP9 - mRNA",27,22,37,10,19,31,119,86,104,4,11,11,2,7,6,8,6,5,2,16,10,13,43,19,13,22,19,25,11,9
"NBN - mRNA",28,26,36,15,41,45,130,95,86,5,13,18,7,12,14,10,8,11,6,20,16,26,87,28,26,37,42,54,12,11
"CD276 - mRNA",22,18,37,35,36,54,126,110,106,19,23,11,12,10,14,16,7,8,12,43,11,19,103,25,12,36,29,58,17,18
"IFNAR1 - mRNA",28,45,34,29,38,58,135,114,122,12,12,17,13,16,7,14,10,16,11,43,18,23,88,33,33,46,33,55,19,25
"LY96 - mRNA",17,19,36,32,29,53,144,122,93,15,20,16,9,11,7,11,5,22,13,77,13,26,51,20,18,26,16,41,10,11
"HLA-F - mRNA",25,16,70,18,24,26,132,138,79,19,37,29,6,9,19,10,21,23,11,34,11,48,45,23,24,26,35,47,28,20
"COL6A3 - mRNA",29,18,7,8,13,14,30,29,30,1,5,7,2,6,7,2,1,5,2,3,8,4,7,6,15,10,18,5,13,10
"GZMA - mRNA",31,16,7,15,14,8,42,19,38,3,4,9,2,8,8,1,5,8,6,4,9,3,15,11,16,14,11,14,6,6
"VSIR - mRNA",13,17,10,14,15,15,40,30,22,4,5,8,3,6,11,4,4,2,4,8,5,5,11,14,23,24,9,14,14,8
"SLC11A1 - mRNA",28,16,11,9,9,18,30,29,26,4,3,5,6,6,6,7,2,5,5,5,12,7,23,18,24,29,12,11,10,12
"FASLG - mRNA",37,28,22,14,10,15,20,27,29,5,3,3,5,12,13,7,4,8,2,11,11,14,16,13,25,17,22,18,15,13
"FAP - mRNA",41,25,14,21,16,21,17,19,16,4,6,6,5,11,10,8,4,2,7,7,13,13,12,21,24,17,12,15,13,19
"NEG_D(0) - mRNA",44,32,21,11,17,21,26,22,19,5,5,3,4,11,13,2,6,9,10,11,5,6,11,15,20,20,16,17,11,13
"NEG_E(0) - mRNA",45,25,11,11,16,17,20,20,15,6,3,6,7,16,5,5,4,5,3,9,7,9,8,15,16,20,16,18,18,10
"NEG_A(0) - mRNA",32,22,20,27,16,15,19,17,27,5,11,2,3,8,1,2,1,2,10,6,10,14,7,14,14,6,7,9,10,14
"CST2 - mRNA",23,17,9,20,7,14,19,22,13,5,7,6,5,9,13,11,2,8,5,5,5,9,16,13,14,21,14,13,10,18
"TCL1A - mRNA",22,24,17,16,12,12,16,19,8,6,3,6,4,10,10,2,1,4,5,4,11,3,8,16,12,14,11,19,11,9
"CTAG1B - mRNA",20,20,19,13,9,15,23,12,13,3,3,7,6,12,11,4,2,9,4,3,11,4,12,13,15,19,15,8,13,14
"SFRP4 - mRNA",27,24,20,10,10,25,20,12,13,8,4,4,7,12,12,4,4,6,4,3,10,5,15,16,23,14,19,8,12,12
"TNFRSF17 - mRNA",22,28,15,19,12,16,14,15,16,4,7,5,7,18,5,6,1,2,6,8,4,11,15,10,21,11,14,11,12,9
"DKK1 - mRNA",31,28,9,18,10,22,19,23,12,3,9,9,6,14,9,5,1,2,10,3,12,9,7,9,17,14,14,9,13,12
"MAP3K12 - mRNA",23,14,7,16,9,11,14,4,11,3,3,4,3,6,5,5,1,7,8,10,7,4,11,10,11,14,7,14,15,6
"GZMB - mRNA",24,17,8,9,4,7,15,13,10,1,3,5,2,6,2,3,3,2,4,6,2,3,6,6,9,9,4,7,4,4
"CDC25C - mRNA",16,22,7,9,10,10,13,15,5,1,1,6,1,9,4,4,1,3,5,2,5,3,8,5,8,6,5,10,5,4
"CD79A - mRNA",19,12,13,10,5,8,6,12,13,3,4,3,3,5,4,6,1,5,4,4,6,2,8,7,7,10,11,7,13,10
"CD244 - mRNA",17,17,16,11,14,13,14,13,13,5,4,6,1,8,10,7,2,4,3,4,4,2,6,9,12,8,10,8,6,11
"HLA-DQA2 - mRNA",21,13,11,11,7,17,13,13,13,3,3,9,2,10,3,8,1,7,5,4,7,8,9,10,14,15,11,10,5,10
"FSTL3 - mRNA",19,16,18,14,12,24,17,16,19,5,10,5,8,4,9,7,6,12,3,27,4,6,11,21,13,14,9,17,11,10
"LY9 - mRNA",17,14,8,14,11,29,17,14,14,4,4,1,3,5,12,2,1,6,4,17,4,7,15,10,5,10,8,17,7,5
"CES3 - mRNA",17,17,20,17,14,30,14,16,6,2,2,7,1,5,8,6,1,7,6,22,7,4,26,11,16,11,11,17,14,6
"INHBA - mRNA",18,18,15,6,8,26,12,16,21,7,8,5,5,9,8,5,1,7,7,2,11,7,17,15,14,21,12,29,7,15
"SOX2 - mRNA",18,14,22,16,11,30,17,8,12,8,4,5,2,9,12,8,4,11,4,10,6,9,29,15,17,23,9,19,12,7
"BTLA - mRNA",17,10,15,17,9,31,15,7,7,6,4,1,5,6,7,3,2,6,5,6,6,5,20,11,16,21,10,18,11,9
"MXI1 - mRNA",18,17,12,15,15,22,19,19,12,7,9,4,2,11,5,2,1,7,7,9,3,5,29,12,22,11,19,26,14,12
"GMIP - mRNA",13,11,11,18,11,24,8,11,4,8,7,4,5,5,3,5,1,9,7,9,5,4,24,7,15,13,8,26,8,5
"TNKS - mRNA",21,13,23,15,17,18,42,38,34,4,8,7,3,9,5,9,1,3,5,6,3,15,33,7,14,25,16,20,7,10
"CD2 - mRNA",27,18,16,11,22,22,42,31,39,5,8,8,5,12,6,3,2,4,8,9,5,8,36,19,17,29,23,26,12,11
"KLRK1 - mRNA",13,17,20,18,17,37,49,31,36,5,3,5,6,7,12,7,2,9,7,17,13,11,31,16,12,24,19,27,12,7
"IL16 - mRNA",17,17,18,17,21,27,41,31,39,5,6,6,5,6,9,8,1,5,7,15,7,7,50,15,12,27,12,23,4,9
"CTSW - mRNA",15,18,15,25,11,28,39,27,31,4,10,6,4,3,11,2,2,9,10,16,7,12,38,16,13,28,6,26,10,7
"MX1 - mRNA",22,18,25,6,9,39,41,29,40,4,18,9,5,13,11,8,7,1,6,9,3,11,30,10,13,16,8,2,7,11
"SBNO2 - mRNA",17,11,20,7,13,17,37,44,36,14,10,8,7,9,4,6,1,5,9,18,7,14,20,13,13,19,11,17,13,6
"CASP8 - mRNA",11,6,16,9,7,15,38,27,34,2,5,5,6,4,1,1,4,6,2,8,4,7,29,9,11,19,18,10,6,12
"NCAM1 - mRNA",14,9,17,22,17,26,24,12,19,8,4,8,8,6,3,6,3,6,6,16,3,4,43,10,3,15,8,31,7,14
"CXCR6 - mRNA",18,23,13,11,13,27,20,16,14,2,8,10,6,8,7,3,1,1,8,18,10,2,34,17,8,16,10,27,15,9
"CNTFR - mRNA",28,21,15,28,16,34,14,13,9,3,6,7,9,11,16,7,2,11,12,19,8,5,31,21,15,11,14,17,13,11
"CLECL1 - mRNA",23,18,17,28,20,41,22,13,14,6,10,8,2,13,8,8,1,9,8,18,7,5,39,11,16,19,14,15,11,14
"RORC - mRNA",21,26,25,19,25,30,20,14,16,7,9,8,8,11,9,8,2,8,5,9,5,5,26,20,15,21,18,19,18,10
"RASGRF1 - mRNA",19,17,13,25,23,30,20,24,6,10,9,7,3,8,13,9,3,8,9,11,5,8,27,17,12,18,10,17,20,11
"MAGEA12 - mRNA",33,14,33,23,27,25,21,17,18,10,10,4,8,7,10,5,2,4,13,26,4,8,33,22,13,11,10,29,12,5
"CD79B - mRNA",30,12,22,29,9,23,18,21,19,4,6,5,5,9,7,8,1,5,8,20,10,12,23,12,10,19,19,23,10,15
"ROBO4 - mRNA",17,16,28,35,21,30,22,26,24,8,14,3,5,11,10,7,1,11,5,22,7,13,24,11,26,18,17,25,12,21
"TCF3 - mRNA",15,20,25,26,22,29,31,27,14,4,9,3,4,10,12,12,1,6,9,23,8,9,33,10,23,23,16,25,13,9
"MICA - mRNA",19,17,23,23,17,29,27,18,24,14,11,8,9,8,15,9,2,10,5,26,12,9,30,14,19,16,10,19,8,14
"NF1 - mRNA",13,19,20,21,13,30,32,32,28,12,9,5,3,9,8,15,2,8,8,20,10,11,27,18,18,17,20,22,4,7
"SHC2 - mRNA",26,24,11,18,16,23,40,26,26,4,9,10,8,14,8,5,6,6,5,17,13,13,24,19,23,18,21,19,9,9
"IKBKB - mRNA",32,26,18,16,23,23,33,19,29,8,4,14,11,7,21,10,4,13,8,19,7,9,23,18,17,12,22,28,14,14
"IL17A - mRNA",24,24,22,23,15,29,24,23,9,9,9,11,2,3,21,8,1,10,8,11,10,10,22,17,28,15,18,18,10,12
"PDGFB - mRNA",27,17,30,12,19,25,26,26,25,15,9,19,4,10,17,9,4,18,8,10,4,11,18,13,15,15,16,18,8,9
"CD38 - mRNA",45,34,42,25,14,25,32,24,21,10,12,12,9,30,5,7,8,12,8,17,13,17,27,25,36,24,26,15,15,10
"NEG_H(0) - mRNA",47,33,25,16,21,21,25,31,24,8,7,7,9,24,6,6,5,6,9,17,12,10,14,18,30,18,8,15,14,14
"SERPINB5 - mRNA",39,42,27,19,20,24,23,25,20,5,13,9,10,14,6,6,3,8,14,13,10,9,29,16,22,19,24,25,20,16
"FANCA - mRNA",46,40,19,18,23,15,34,30,26,4,6,7,5,19,6,4,4,7,10,20,14,10,31,25,30,24,22,23,13,19
"STK11IP - mRNA",55,30,24,26,22,38,25,32,20,12,10,8,8,15,6,11,4,4,7,12,8,18,32,25,29,30,15,43,18,20
"CENPF - mRNA",59,43,27,21,18,32,30,32,27,8,10,20,8,12,10,6,4,5,16,13,11,15,37,20,35,24,26,17,20,17
"TNFSF9 - mRNA",51,35,22,19,13,33,30,37,20,11,7,11,5,25,7,6,4,7,12,14,12,7,31,30,41,26,27,24,27,17
"CD7 - mRNA",52,42,31,35,29,38,32,42,24,4,9,11,4,20,14,11,1,12,5,14,15,8,22,31,39,22,22,28,24,23
"TNFRSF18 - mRNA",56,53,22,27,31,29,31,34,31,12,14,10,7,16,10,13,5,8,10,11,13,5,31,33,39,18,22,26,22,25
"NEG_C(0) - mRNA",49,48,22,32,31,23,35,38,18,7,9,10,8,19,11,6,2,10,14,9,15,18,25,27,33,37,21,19,21,23
"OTOA - mRNA",52,41,29,30,24,33,33,22,24,4,7,11,14,23,11,10,1,8,3,14,12,11,23,30,39,36,21,27,12,16
"HLA-DOB - mRNA",53,41,28,28,15,28,37,31,20,9,8,7,10,23,8,8,4,9,8,14,15,15,25,32,46,27,16,19,19,20
"BLK - mRNA",41,42,15,23,20,28,23,24,29,12,12,13,4,16,18,13,2,17,11,7,12,12,16,21,26,24,14,23,20,22
"HDAC4 - mRNA",32,39,14,18,23,27,36,35,30,13,7,14,10,14,17,18,6,18,7,8,14,13,16,16,15,35,9,25,21,21
"TDO2 - mRNA",38,28,23,30,30,34,27,38,32,12,18,15,11,13,29,15,3,10,8,11,13,12,32,15,28,29,28,27,15,21
"TLR8 - mRNA",34,28,25,35,24,32,38,28,24,10,12,12,7,11,14,5,2,14,14,13,15,12,21,14,24,30,12,23,18,14
"CD1C - mRNA",45,28,24,33,22,31,39,32,17,16,20,15,7,10,16,13,6,14,15,6,8,14,19,23,28,24,28,19,18,24
"IL4 - mRNA",36,27,12,18,26,36,16,15,18,10,6,5,5,11,7,7,4,6,8,12,8,10,28,18,21,21,7,21,16,13
"ARG1 - mRNA",38,27,14,25,18,41,21,21,9,9,7,4,6,10,8,5,2,11,12,13,10,5,29,21,24,14,11,27,12,12
"MAGEB2 - mRNA",34,14,27,24,17,34,24,14,13,10,8,11,12,15,13,7,5,7,14,18,10,3,30,21,23,20,15,24,10,11
"CSF3 - mRNA",33,26,21,27,18,30,20,16,10,8,8,5,4,25,9,10,3,4,7,16,12,11,36,26,31,26,16,24,15,15
"HNF1A - mRNA",34,26,27,15,19,41,25,24,27,10,12,11,7,17,11,11,4,9,5,22,16,9,38,24,27,31,15,28,19,12
"TWIST2 - mRNA",38,34,34,20,23,35,19,21,14,7,6,8,6,16,11,10,2,4,7,6,10,6,31,18,35,23,22,23,20,10
"SPIB - mRNA",31,23,40,16,23,32,16,22,22,11,9,7,9,22,11,8,2,10,9,14,9,6,29,16,34,22,22,25,20,11
"CBLC - mRNA",30,28,31,28,22,21,22,21,21,11,8,18,7,10,17,12,6,10,11,18,11,6,10,21,24,27,21,10,22,16
"RELN - mRNA",42,21,16,24,16,22,22,25,17,15,13,17,13,10,21,12,5,9,11,13,21,16,18,14,24,20,17,25,23,22
"NEG_G(0) - mRNA",50,32,15,18,21,20,16,14,24,9,4,12,4,16,7,13,4,8,8,5,7,9,20,16,42,26,18,14,16,17
"IL21R - mRNA",46,25,26,16,18,26,24,21,20,10,11,12,8,12,16,13,6,15,10,7,10,9,16,21,24,29,27,21,19,16
"MS4A2 - mRNA",44,22,18,23,33,33,17,19,16,7,11,11,5,15,17,11,5,16,12,13,13,12,26,26,28,26,23,14,17,13
"NEG_B(0) - mRNA",31,31,17,25,23,24,16,15,16,9,11,10,7,12,17,12,5,9,14,10,8,11,21,27,27,22,22,15,23,12
"RELB - mRNA",27,37,24,24,24,36,54,50,49,8,7,13,5,20,6,8,5,7,12,9,16,10,42,27,31,26,34,26,20,11
"JAK3 - mRNA",41,21,22,20,23,29,44,59,43,12,6,8,7,16,16,12,4,13,14,10,15,13,26,15,15,29,22,19,13,17
"NID2 - mRNA",42,29,20,25,31,28,52,52,57,8,10,13,9,14,21,11,3,12,12,14,9,17,26,26,26,24,23,26,22,21
"CD45RA - mRNA",47,29,18,27,24,24,41,25,45,8,10,11,6,11,8,13,2,9,11,9,6,9,21,26,33,13,19,16,21,13
"CCL14 - mRNA",44,29,25,29,17,27,38,22,32,7,14,8,4,9,8,16,5,9,7,12,11,3,19,23,26,23,23,16,14,15
"SELP - mRNA",36,42,25,18,30,27,49,31,31,7,8,9,13,11,12,9,1,6,8,9,20,8,20,26,24,21,20,19,18,20
"ICOS - mRNA",39,32,25,19,21,19,51,32,36,13,11,15,6,11,10,15,6,24,11,11,20,17,19,24,23,21,22,15,15,19
"KLRB1 - mRNA",44,29,11,17,19,16,48,41,32,7,9,9,5,27,11,10,6,9,7,11,10,10,17,20,36,27,20,23,15,9
"CXCL13 - mRNA",52,29,19,17,13,24,45,37,55,5,10,6,3,18,5,8,3,7,9,15,6,8,18,26,35,25,15,21,18,17
"KIT - mRNA",36,29,21,10,23,25,36,29,52,6,4,10,8,13,3,9,4,5,2,9,7,11,18,14,30,33,15,23,16,14
"GZMK - mRNA",27,17,10,12,24,23,51,34,35,7,4,8,6,11,16,5,5,11,12,6,9,6,16,12,21,19,17,20,14,12
"PRKACB - mRNA",25,24,18,18,16,16,56,40,46,12,5,10,2,7,13,10,1,6,3,15,12,7,28,3,19,17,16,27,17,13
"ARID1A - mRNA",22,18,21,7,19,20,50,41,33,8,6,10,6,10,12,5,7,5,8,20,9,10,25,10,14,24,19,26,25,21
"LTBP1 - mRNA",25,34,23,26,11,26,42,42,38,10,9,8,12,20,10,13,3,16,8,14,5,10,15,13,22,18,25,36,20,17
"HDAC5 - mRNA",34,21,17,17,20,25,22,45,42,8,6,11,8,13,12,8,6,8,5,16,7,12,17,16,14,15,16,24,19,11
"HERC6 - mRNA",32,22,24,26,24,15,26,39,31,3,6,10,8,22,13,14,4,16,14,12,11,7,23,20,15,19,15,22,16,15
"ELOB - mRNA",27,23,30,29,30,32,25,23,27,9,12,16,9,11,11,17,3,21,14,22,6,10,50,17,16,34,17,32,16,21
"CX3CR1 - mRNA",28,25,29,29,33,32,36,33,32,10,14,5,8,14,9,9,4,8,14,18,18,4,44,15,17,26,14,36,10,16
"POLD1 - mRNA",31,31,35,26,27,35,33,28,27,17,14,11,7,14,12,9,9,10,14,12,11,8,46,30,20,25,25,29,15,25
"C5 - mRNA",26,27,24,35,31,43,18,23,17,11,5,12,7,13,12,7,1,9,8,22,12,11,33,17,15,16,18,25,13,12
"COMP - mRNA",30,25,27,25,18,32,21,25,16,11,11,11,7,14,16,9,2,11,11,19,17,8,30,18,14,17,26,23,22,15
"FOXP3 - mRNA",25,28,31,26,22,31,23,18,17,14,12,13,9,12,9,7,1,10,17,29,15,7,33,23,13,21,19,29,15,12
"SIGLEC8 - mRNA",36,30,24,26,32,24,22,24,17,9,12,18,7,14,11,8,4,15,10,24,16,6,27,24,21,19,19,30,22,19
"WNT11 - mRNA",31,24,29,33,36,32,17,26,18,19,9,12,9,17,21,12,2,16,16,26,8,11,33,18,22,32,24,36,19,14
"FCGRT - mRNA",33,30,22,37,25,39,31,19,28,15,16,18,10,9,13,12,4,14,11,26,6,12,25,33,23,21,14,21,14,13
"COL4A5 - mRNA",28,20,33,40,16,45,26,25,27,6,4,5,6,16,14,8,2,10,5,21,8,10,19,20,18,24,10,16,13,11
"CD28 - mRNA",27,21,35,34,19,42,25,24,28,13,10,16,9,17,16,6,2,8,7,19,10,8,25,24,25,19,24,29,24,25
"ERBB2 - mRNA",31,25,28,27,14,29,33,28,30,15,11,10,10,7,16,10,8,14,5,38,7,26,28,17,11,25,20,26,13,16
"IGF2R - mRNA",27,22,32,35,22,37,46,29,34,13,14,10,8,10,8,4,2,13,10,33,10,16,41,19,14,19,16,38,18,15
"TBC1D10B - mRNA",20,30,26,38,24,41,34,23,29,13,18,6,6,11,12,13,6,13,11,32,12,14,45,20,11,24,18,37,14,13
"PDCD1LG2 - mRNA",24,28,20,18,24,23,37,23,23,4,10,9,6,8,15,9,3,3,6,10,6,10,45,32,27,21,21,31,24,12
"IRF3 - mRNA",30,23,22,14,28,23,37,32,44,3,10,6,5,14,16,11,1,7,5,13,6,6,45,21,23,13,10,30,10,7
"TGFB3 - mRNA",24,28,29,24,23,52,44,38,20,11,7,10,3,12,20,8,3,18,7,19,16,10,35,16,20,30,18,38,15,9
"SOCS1 - mRNA",24,22,24,12,16,41,38,34,26,8,8,13,6,11,9,13,4,8,6,10,8,12,22,17,21,27,18,22,16,10
"IL1A - mRNA",44,30,13,29,24,47,37,31,37,6,6,10,5,13,12,10,6,5,9,8,16,11,41,24,19,20,26,39,14,18
"PLA1A - mRNA",36,26,17,23,31,48,47,40,45,14,17,15,7,12,11,11,6,11,9,17,7,10,34,25,26,24,18,38,22,13
"TICAM1 - mRNA",34,27,34,20,22,51,31,29,47,14,18,13,16,9,16,11,1,6,11,22,8,8,42,19,20,19,18,37,14,17
"CD3E - mRNA",34,30,30,24,25,35,45,29,42,14,23,15,6,9,15,18,7,20,12,13,13,10,40,23,13,29,29,36,18,18
"PIK3CD - mRNA",37,31,26,26,36,36,34,31,36,18,17,17,14,15,14,7,5,12,9,21,12,12,34,20,15,26,20,40,21,24
"NECTIN1 - mRNA",38,27,23,27,24,48,34,28,30,14,17,15,7,13,15,4,4,15,13,22,11,15,53,36,17,35,20,17,25,11
"PC - mRNA",28,27,29,34,25,44,38,33,33,10,18,29,13,8,25,15,3,14,13,35,17,12,44,34,18,32,15,40,21,15
"VEGFC - mRNA",28,24,15,31,25,41,28,41,38,17,17,12,9,8,25,11,5,22,15,29,13,8,40,31,19,28,29,36,22,8
"ESR1 - mRNA",38,24,29,34,30,54,24,29,29,17,15,10,8,16,19,15,3,18,18,29,6,6,48,20,25,27,19,35,31,11
"GLI1 - mRNA",41,33,25,32,29,54,21,29,29,9,17,11,16,22,14,11,8,11,14,39,11,10,41,26,35,32,24,48,30,15
"GNG4 - mRNA",49,31,26,32,36,39,24,25,29,16,16,5,9,14,17,17,3,12,12,22,18,14,28,22,28,26,28,46,23,21
"S100A12 - mRNA",46,23,27,36,31,39,22,29,23,13,22,6,10,8,18,11,2,20,11,29,14,9,46,29,21,26,17,52,17,16
"CD6 - mRNA",54,32,28,34,29,38,24,42,30,21,15,33,15,17,23,17,4,18,13,42,13,17,41,30,29,38,35,31,18,19
"IL2RB - mRNA",42,25,21,36,24,52,33,34,39,16,15,13,11,13,20,19,4,12,12,30,15,14,39,22,35,31,20,43,11,21
"ACVR1C - mRNA",45,35,30,40,30,61,37,27,27,12,15,24,10,8,25,17,3,23,8,25,10,22,38,20,25,28,24,32,12,20
"ZC3H12A - mRNA",29,31,43,27,47,58,26,32,38,19,12,24,6,13,22,17,5,16,17,21,4,17,45,18,28,47,22,29,23,25
"CXCR3 - mRNA",42,48,40,28,27,46,42,38,21,22,20,10,14,22,16,11,1,19,10,42,16,12,33,31,26,28,22,31,18,32
"IL15 - mRNA",25,44,26,21,26,37,44,46,29,18,20,19,8,16,29,16,9,20,11,23,13,20,30,26,26,24,21,24,24,25
"RIPK3 - mRNA",32,31,37,20,22,34,32,33,25,12,13,18,13,12,15,22,9,15,9,18,5,8,27,29,22,28,21,20,29,28
"LAG3 - mRNA",47,63,32,40,20,43,37,42,46,12,17,17,13,30,17,10,9,9,4,16,15,12,34,35,49,32,27,30,28,30
"COL5A1 - mRNA",55,54,35,42,30,49,41,45,53,14,16,22,12,19,16,9,5,6,14,18,18,15,27,34,47,45,26,30,25,25
"IL2 - mRNA",63,36,29,35,30,33,34,36,33,8,12,18,10,30,11,10,4,17,8,18,11,19,41,23,51,26,27,30,30,21
"TSLP - mRNA",57,46,24,35,28,48,23,36,28,10,13,7,9,29,10,12,2,14,11,14,10,14,50,37,32,26,26,37,26,17
"CSF3R - mRNA",47,41,23,26,35,53,38,28,31,16,16,10,6,19,9,4,10,13,14,26,14,18,54,23,32,33,30,34,15,23
"MSH6 - mRNA",43,37,26,22,20,45,49,38,36,8,14,14,6,14,8,11,7,11,13,22,14,16,55,31,39,27,22,40,16,19
"CDK6 - mRNA",52,35,28,32,25,58,44,32,41,5,14,9,6,16,5,9,4,13,7,25,6,9,57,25,36,43,22,35,20,17
"FADD - mRNA",46,32,32,37,20,34,41,36,36,16,13,6,5,21,5,5,3,14,18,24,18,12,43,21,30,27,23,35,14,13
"TNFSF4 - mRNA",45,33,30,36,30,39,30,42,29,9,11,12,9,11,22,8,2,12,11,28,17,10,45,36,26,39,15,37,23,14
"CD3G - mRNA",41,35,38,33,27,49,32,46,34,17,9,14,6,19,20,9,2,10,18,30,7,14,44,23,23,35,18,29,19,16
"TLR7 - mRNA",45,29,31,33,29,32,39,40,32,14,15,20,13,17,25,16,5,24,14,20,17,13,24,25,24,28,26,25,17,24
