"","20210113_30102534541221-01_P0091-10 LUNG D3 NMC2 30ug.ml_10.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210108_P0090_D3_NMC2_30ugml(1).RCC","20210108_P0090_D3_NMC2_100ugml(1).RCC","20210108_P0090_D0_Control(2).RCC","20210108_P0090_D0_Control(1).RCC","20210108_P0090_D0_Control(3).RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC","20210108_P0090_D3_IFNg_100ngml(1).RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC","20210108_P0090_D3_NMC2_100ugml(1).RCC","20210108_P0090_D3_NMC2_30ugml(1).RCC","20210108_P0090_D3_IFNg_100ngml(1).RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC"
"VEGFA - mRNA",56,65,51,51,69,86,330,285,283,26,24,20,13,22,25,18,14,26,19,66,22,43,193,45,45,112,60,119,34,55
"CD70 - mRNA",58,59,44,53,78,115,319,265,245,13,13,15,18,20,18,21,7,25,22,34,25,19,154,50,53,89,71,100,32,26
"ADM - mRNA",79,64,76,56,100,138,348,277,304,26,25,21,9,27,17,21,4,19,12,45,31,18,218,58,43,138,86,194,34,48
"NDUFA4L2 - mRNA",50,43,42,39,77,174,346,288,230,12,16,17,5,26,22,26,5,2,13,30,30,10,251,53,28,126,108,163,67,52
"CDKN1A - mRNA",115,73,121,69,118,156,295,261,265,43,42,33,19,23,24,29,19,25,24,109,43,45,135,56,55,58,85,110,35,39
"IFITM2 - mRNA",52,29,141,86,86,179,387,273,345,41,41,30,25,18,24,30,10,32,49,127,24,38,200,52,28,74,48,165,45,35
"TPM1 - mRNA",22,16,17,9,46,65,440,270,306,10,4,11,8,6,10,12,3,9,5,16,21,8,301,12,15,89,62,91,16,28
"HLA-DMA - mRNA",51,45,101,32,31,41,376,347,268,12,33,41,13,26,11,6,26,14,12,40,20,69,53,26,39,38,41,22,21,20
"IRF1 - mRNA",52,45,111,31,53,63,351,297,320,18,48,32,10,20,15,11,29,21,11,41,14,64,87,68,51,55,52,52,42,25
"GBP2 - mRNA",43,37,99,25,35,42,346,237,268,17,40,29,12,18,24,18,9,23,9,33,15,31,65,56,29,40,34,38,40,26
"TGFB1 - mRNA",62,52,47,37,56,71,391,298,313,32,30,30,14,32,9,16,17,20,14,53,31,47,100,46,38,58,65,79,38,48
"CEBPB - mRNA",56,50,59,37,76,106,334,340,326,28,38,48,11,17,18,22,20,24,35,47,20,70,99,50,31,60,54,99,40,40
"CD14 - mRNA",24,28,40,34,49,80,371,331,248,16,27,15,11,6,12,17,6,14,16,42,20,17,105,22,20,59,62,74,19,28
"CYBB - mRNA",29,16,55,26,52,77,420,395,283,20,38,31,10,11,9,13,17,17,15,68,19,69,152,20,22,74,103,53,27,29
"STAT1 - mRNA",64,59,262,44,70,166,303,251,222,33,112,40,18,23,25,28,32,29,23,79,31,72,137,108,55,84,50,120,47,44
"IFI27 - mRNA",29,30,233,44,55,75,331,176,222,45,86,56,13,8,17,21,64,56,20,133,12,103,81,41,17,59,26,49,20,19
"IFITM1 - mRNA",53,45,220,59,44,93,278,215,263,28,29,21,11,22,18,13,20,18,24,79,13,41,83,44,48,50,39,92,29,31
"GBP1 - mRNA",11,12,142,11,18,31,232,183,203,7,43,12,3,11,35,7,6,7,1,15,4,27,44,213,11,31,19,40,90,17
