"","< 25","25 - 50","50 - 100","> 100"
"NM_019055.5:3080",0.8,0.2,0,0
"NM_000045.3:744",0.8,0.2,0,0
"NM_080921.3:258",0.8,0.1,0,0.1
"NM_000625.4:1005",0.8,0.2,0,0
"NM_002417.2:2005",0.8,0.133333333333333,0.0666666666666667,0
"NM_007019.2:445",0.8,0.1,0.1,0
"NM_001271893.3:617",0.8,0.2,0,0
"NM_003121.3:1029",0.8,0.2,0,0
"NM_014442.2:1672",0.8,0.2,0,0
"NM_012092.3:591",0.8,0.166666666666667,0.0333333333333333,0
"NM_021798.3:744",0.8,0.2,0,0
"NM_002608.2:1941",0.8,0.2,0,0
"ERCC_00154.1:115",0.8,0.2,0,0
"NM_001126336.2:394",0.766666666666667,0.1,0.0333333333333333,0.1
"NM_001166386.1:567",0.766666666666667,0.233333333333333,0,0
"NM_002226.4:5480",0.766666666666667,0.2,0.0333333333333333,0
"NM_001317163.1:2212",0.766666666666667,0.233333333333333,0,0
"NM_000215.2:1715",0.766666666666667,0.2,0.0333333333333333,0
"NM_030641.3:289",0.766666666666667,0.133333333333333,0.0666666666666667,0.0333333333333333
"NM_022168.3:3250",0.766666666666667,0.1,0.133333333333333,0
"NM_001099856.4:1719",0.766666666666667,0.133333333333333,0.1,0
"NM_001565.3:122",0.766666666666667,0.0666666666666667,0.1,0.0666666666666667
"NM_001330636.1:865",0.766666666666667,0.166666666666667,0.0666666666666667,0
"NM_014308.3:3275",0.766666666666667,0.2,0.0333333333333333,0
"NM_000633.2:1525",0.766666666666667,0.2,0.0333333333333333,0
"NM_001302695.1:191",0.766666666666667,0.166666666666667,0.0666666666666667,0
"NM_000495.4:1714",0.766666666666667,0.233333333333333,0,0
"NM_001197122.1:607",0.766666666666667,0.233333333333333,0,0
"NM_033423.3:705",0.766666666666667,0.233333333333333,0,0
"NM_001270508.1:3240",0.766666666666667,0.133333333333333,0,0.1
"NM_001767.3:683",0.766666666666667,0.233333333333333,0,0
"NM_001285439.1:117",0.766666666666667,0.1,0.133333333333333,0
"NM_003200.3:276",0.766666666666667,0.233333333333333,0,0
"NM_002163.2:1245",0.766666666666667,0.133333333333333,0,0.1
"NM_030775.2:254",0.766666666666667,0.2,0.0333333333333333,0
"NM_000163.2:1835",0.766666666666667,0.233333333333333,0,0
"NM_000139.3:126",0.766666666666667,0.233333333333333,0,0
"NM_000474.3:293",0.766666666666667,0.233333333333333,0,0
"NM_024013.1:667",0.733333333333333,0.233333333333333,0.0333333333333333,0
"NM_001329938.1:262",0.733333333333333,0.233333333333333,0.0333333333333333,0
"NM_018685.2:240",0.733333333333333,0.233333333333333,0.0333333333333333,0
"NM_031923.3:869",0.733333333333333,0.266666666666667,0,0
"NM_001335.3:1075",0.733333333333333,0.266666666666667,0,0
"NM_001256252.1:1130",0.733333333333333,0.233333333333333,0.0333333333333333,0
"NM_001159488.1:132",0.733333333333333,0.233333333333333,0.0333333333333333,0
"NM_001270949.1:1940",0.733333333333333,0.266666666666667,0,0
"NM_002838.4:258",0.733333333333333,0.266666666666667,0,0
"NM_173799.2:1968",0.733333333333333,0.266666666666667,0,0
"NM_030964.3:1900",0.733333333333333,0.0666666666666667,0.2,0
"NM_000095.2:1271",0.733333333333333,0.266666666666667,0,0
"NM_014143.3:1243",0.733333333333333,0.233333333333333,0.0333333333333333,0
"NM_014009.3:1230",0.733333333333333,0.266666666666667,0,0
"NM_001146103.1:1188",0.733333333333333,0.166666666666667,0.0333333333333333,0.0666666666666667
"NM_001278426.3:591",0.733333333333333,0.2,0.0666666666666667,0
"NM_138636.4:2210",0.733333333333333,0.266666666666667,0,0
"NM_003508.2:1446",0.733333333333333,0.266666666666667,0,0
"NM_000206.1:595",0.733333333333333,0.2,0.0666666666666667,0
"NM_002989.2:155",0.733333333333333,0.266666666666667,0,0
"NM_001243835.1:808",0.733333333333333,0.266666666666667,0,0
"NM_001278.4:3263",0.733333333333333,0.166666666666667,0.1,0
"NM_006419.2:209",0.733333333333333,0.2,0.0666666666666667,0
"NM_000222.2:802",0.733333333333333,0.233333333333333,0.0333333333333333,0
"NM_001018112.1:580",0.733333333333333,0.266666666666667,0,0
"NM_002258.2:85",0.733333333333333,0.266666666666667,0,0
"NM_032962.4:253",0.733333333333333,0.266666666666667,0,0
"NM_004418.3:1235",0.733333333333333,0.166666666666667,0.1,0
"NR_026800.2:9125",0.733333333333333,0.233333333333333,0.0333333333333333,0
"NM_001765.2:564",0.733333333333333,0.266666666666667,0,0
"NM_006037.3:3742",0.733333333333333,0.266666666666667,0,0
"NM_001243211.1:392",0.7,0.2,0.1,0
"NM_001139498.1:975",0.7,0.3,0,0
"NM_001300927.1:6607",0.7,0.233333333333333,0.0666666666666667,0
"NM_000627.3:1970",0.7,0.3,0,0
"NM_000074.2:1225",0.7,0.3,0,0
"NM_003005.3:120",0.7,0.3,0,0
"NM_182919.3:2552",0.7,0.266666666666667,0.0333333333333333,0
"NM_197954.2:55",0.7,0.233333333333333,0.0666666666666667,0
"NM_001042724.1:1120",0.7,0.2,0.0666666666666667,0.0333333333333333
"NM_001330384.1:2083",0.7,0.2,0.1,0
"NM_000361.2:1674",0.7,0.2,0.1,0
"NM_002010.2:4170",0.7,0.233333333333333,0.0666666666666667,0
"NM_001736.3:546",0.7,0.3,0,0
"NM_005211.3:958",0.7,0.2,0,0.1
"NM_003177.5:808",0.7,0.233333333333333,0.0666666666666667,0
"NM_005462.4:338",0.7,0.3,0,0
"NM_001001548.2:705",0.7,0.166666666666667,0.0333333333333333,0.1
"NM_181050.1:2742",0.7,0.3,0,0
"NM_005317.2:669",0.7,0.2,0.1,0
"NM_016388.3:578",0.7,0.266666666666667,0.0333333333333333,0
"NM_003263.3:696",0.7,0.2,0.1,0
"NM_004072.2:762",0.7,0.2,0.1,0
"NM_024689.2:131",0.7,0.233333333333333,0.0333333333333333,0.0333333333333333
"NM_003842.3:565",0.7,0.266666666666667,0.0333333333333333,0
"NM_003862.2:1030",0.7,0.3,0,0
"NM_005228.3:2760",0.7,0.266666666666667,0.0333333333333333,0
"NM_000759.3:851",0.7,0.3,0,0
"NM_001256370.1:1094",0.7,0.2,0,0.1
"NM_003809.2:339",0.7,0.2,0.1,0
"NM_000587.2:1488",0.7,0.266666666666667,0.0333333333333333,0
"NM_005877.4:1485",0.7,0.166666666666667,0.133333333333333,0
"NM_001172085.1:587",0.7,0.266666666666667,0.0333333333333333,0
"NM_015527.3:2915",0.7,0.3,0,0
"NM_001759.2:5825",0.666666666666667,0.133333333333333,0.1,0.1
"NM_175060.1:1930",0.666666666666667,0.233333333333333,0,0.1
"NM_001163034.1:3139",0.666666666666667,0.266666666666667,0.0666666666666667,0
"NM_000575.3:2001",0.666666666666667,0.333333333333333,0,0
"NM_005092.3:350",0.666666666666667,0.266666666666667,0.0666666666666667,0
