"","20201204_30102534581221-01_P0094 D0 2 _08.RCC","20201204_30102534581221-01_P0094 D0 3_09.RCC","20201209_30102534211221-01_P0094 D3 17 nmc2 100_02.RCC","20201209_30102534211221-01_P0094 D3 18 nmc2 30_03.RCC","20201208_30102534591221-01_P0094 D3 9 nmc2 30_06.RCC","20201208_30102534591221-01_P0094 D3 10 IgG 250_07.RCC","20201209_30102534211221-01_P0094 D3 16 IFN_01.RCC","20201209_30102534211221-01_P0094 D3 26 nmc2 100_11.RCC","20201209_30102534211221-01_P0094 D3 27 nmc2 30_12.RCC","20201208_30102534591221-01_P0094 D3 14 PD1 250_11.RCC","20201209_30102534211221-01_P0094 D3 23 PD1 250_08.RCC","20201208_30102534591221-01_P0094 D3 8 nmc2 100_05.RCC","20201204_30102534581221-01_P0094 IgG 250 D3 1_10.RCC","20201209_30102534211221-01_P0094 D3 19 IgG 250_04.RCC","20201209_30102534211221-01_P0094 D3 25 IFN_10.RCC","20201204_30102534581221-01_P0094 D0 1_07.RCC","20201208_30102534591221-01_P0094 D3 7 IFN_04.RCC"
"CXCL11 - mRNA",72,90,20,33,81,40,13,19,22,39,65,65,45,13,34,64,74
"MARCO - mRNA",105,85,20,31,51,38,27,30,29,26,73,57,54,28,49,53,68
"CDKN1C - mRNA",92,70,34,27,72,34,23,25,18,35,49,36,48,50,45,60,81
"NDUFA4L2 - mRNA",92,69,31,29,54,27,25,28,20,50,62,37,46,33,39,55,49
"TPSAB1/B2 - mRNA",22,13,22,65,57,33,22,27,33,27,78,67,58,40,68,19,70
"MAPK10 - mRNA",14,14,32,51,58,38,21,35,29,33,82,58,49,40,59,12,83
"CD8B - mRNA",21,26,23,50,54,26,26,19,22,43,96,57,54,46,48,17,61
"RAD51C - mRNA",24,27,29,45,67,30,25,27,26,40,76,55,41,50,47,12,61
"ICAM5 - mRNA",26,20,38,48,58,21,30,23,25,41,74,62,27,47,53,18,72
"RASAL1 - mRNA",21,37,37,49,66,39,35,30,37,47,80,51,68,48,58,15,78
"SLAMF7 - mRNA",32,29,39,37,62,42,35,48,35,49,82,56,62,53,56,26,72
"PECAM1 - mRNA",50,39,29,49,66,36,33,39,21,33,70,69,62,41,58,22,75
"CTLA4 - mRNA",30,37,30,35,72,41,28,38,28,29,72,68,65,49,71,24,86
"ROR2 - mRNA",17,20,35,34,70,38,27,32,16,31,78,58,71,35,56,9,64
"PF4 - mRNA",13,18,38,30,59,31,28,27,17,44,73,57,61,28,51,12,68
"OLFML2B - mRNA",28,26,39,31,68,43,27,32,22,38,73,44,69,39,57,24,57
"CD28 - mRNA",27,21,32,33,50,36,33,26,20,29,76,51,64,30,60,20,63
"RNLS - mRNA",35,35,23,35,51,40,19,25,15,33,67,53,54,42,49,15,57
"CD58 - mRNA",37,25,30,42,60,39,26,19,18,38,68,56,66,42,49,26,72
"FUT4 - mRNA",35,28,20,37,61,47,23,29,21,45,72,48,58,49,57,23,73
"HCK - mRNA",42,27,33,36,60,26,29,32,19,41,63,58,53,40,46,31,73
"CXCL1 - mRNA",44,23,32,36,60,25,29,29,18,41,77,72,53,44,53,23,58
"LILRA5 - mRNA",27,26,27,41,54,29,31,36,30,39,74,63,47,26,62,20,69
"LRRC32 - mRNA",32,23,34,42,47,37,19,31,32,36,81,64,39,33,55,21,62
"CCR2 - mRNA",25,16,24,35,60,40,33,32,28,40,71,65,57,31,52,21,55
"CLEC4E - mRNA",26,21,34,45,60,40,34,38,37,42,72,61,57,34,63,23,60
