"","ProbeID","Codeset.Name","Probe.Label","Analyte.Type","Is.Control","Control.Type","Related.Probes","Probe.Annotation","KEGG.Pathways","Cell.Type","Official.Gene.Name","probeLabel.Type","below.threshold"
"MET - mRNA","NM_000245.2:1488","NS_IO_360_V1.0","MET","mRNA",0,"","","PI3K-Akt;Metabolic Stress;MAPK","hsa04014;hsa04015;hsa04060;hsa04144;hsa04151;hsa04360;hsa04510;hsa04520;hsa05100;hsa05120;hsa05144;hsa05200;hsa05202;hsa05205;hsa05206;hsa05211;hsa05218;hsa05230","","MET","MET - mRNA","False"
"LDHB - mRNA","NM_001174097.2:1200","NS_IO_360_V1.0","LDHB","mRNA",0,"","","Metabolic Stress","hsa00010;hsa00270;hsa00620;hsa04922","","LDHB","LDHB - mRNA","False"
"LAMC2 - mRNA","NM_005562.2:1027","NS_IO_360_V1.0","LAMC2","mRNA",0,"","","PI3K-Akt;Matrix Remodeling and Metastasis","hsa04151;hsa04510;hsa04512;hsa05145;hsa05146;hsa05200;hsa05222","","LAMC2","LAMC2 - mRNA","False"
"CCL2 - mRNA","NM_002982.3:303","NS_IO_360_V1.0","CCL2","mRNA",0,"","","Myeloid Compartment;Cytokine and Chemokine Signaling","hsa04060;hsa04062;hsa04621;hsa04668;hsa04933;hsa05142;hsa05144;hsa05164;hsa05168;hsa05323","","CCL2","CCL2 - mRNA","False"
"HIF1A - mRNA","NM_181054.2:930","NS_IO_360_V1.0","HIF1A","mRNA",0,"","","Notch Signaling;Metabolic Stress;Hypoxia;Autophagy","hsa04066;hsa04150;hsa04919;hsa05200;hsa05205;hsa05211;hsa05230;hsa05231","","HIF1A","HIF1A - mRNA","False"
"TAP1 - mRNA","NM_000593.5:1000","NS_IO_360_V1.0","TAP1","mRNA",0,"","","Antigen Presentation","hsa04145;hsa04612;hsa05168;hsa05340","","TAP1","TAP1 - mRNA","False"
"IFIT3 - mRNA","NM_001031683.3:712","NS_IO_360_V1.0","IFIT3","mRNA",0,"","","Interferon Signaling;Cytotoxicity","","","IFIT3","IFIT3 - mRNA","False"
"IFI35 - mRNA","NM_005533.4:729","NS_IO_360_V1.0","IFI35","mRNA",0,"","","Interferon Signaling;Cytotoxicity","","","IFI35","IFI35 - mRNA","False"
"OAS1 - mRNA","NM_001032409.1:805","NS_IO_360_V1.0","OAS1","mRNA",0,"","","Interferon Signaling;Cytotoxicity","hsa05160;hsa05162;hsa05164;hsa05168","","OAS1","OAS1 - mRNA","False"
"PSMB10 - mRNA","NM_002801.3:249","NS_IO_360_V1.0","PSMB10","mRNA",0,"","","NF-kappaB Signaling;Hedgehog Signaling;Costimulatory Signaling;Cell Proliferation;Apoptosis;Antigen Presentation","hsa03050","","PSMB10","PSMB10 - mRNA","False"
"ISG15 - mRNA","NM_005101.3:305","NS_IO_360_V1.0","ISG15","mRNA",0,"","","Lymphoid Compartment;Interferon Signaling;DNA Damage Repair;Cytotoxicity","hsa04622","","ISG15","ISG15 - mRNA","False"
