"","20210112_30102534301221-01_P0091-3 D0 media_06.RCC","20201201_30102534601221-01_P0092 D3 IFNy(100ng-mL)-2_12.RCC","20201201_30102534601221-01_P0092 D3 IFNy(100ng-mL)-1_06.RCC","20201202_30102534611221-01_P0092 D3 IFNy(100ng-mL)-3_06.RCC","20201201_30102534601221-01_P0092 D3 IgG1(250ug-mL)-1_04.RCC","20201201_30102534601221-01_P0092 D3 NMC1(30ug-mL)-1_07.RCC","20201201_30102534601221-01_P0092 D3 aPD1(250ug-mL)-2_11.RCC","20201201_30102534601221-01_P0092 D3 NMC2(100ug-mL)-1_09.RCC","20201202_30102534611221-01_P0092 D3 NMC2(100ug-mL)-3_09.RCC","20201201_30102534601221-01_P0092 D3 aPD1(250ug-mL)-1_05.RCC","20201202_30102534611221-01_P0092 D3 NMC1(30ug-mL)-2_01.RCC","20201202_30102534611221-01_P0092 D3 IgG1(250ug-mL)-3_04.RCC","20201202_30102534611221-01_P0092 D3 Control-2_11.RCC","20201202_30102534611221-01_P0092 D3 Control-1_10.RCC","20201202_30102534611221-01_P0092 D3 NMC1(30ug-mL)-3_07.RCC","20201202_30102534611221-01_P0092 D3 aPD1(250ug-mL)-3_05.RCC","20201202_30102534611221-01_P0092 D3 Control-3_12.RCC","20201202_30102534611221-01_P0092 D3 NMC2(30ug-mL)-3_08.RCC","20201202_30102534611221-01_P0092 D3 NMC2(100ug-mL)-2_03.RCC","20201201_30102534601221-01_P0092 D3 NMC2(30ug-mL)-1_08.RCC","20201202_30102534611221-01_P0092 D3 NMC2(30ug-mL)-2_02.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210113_30102534541221-01_P0091-8 LUNG D3 IFNy 100ng.ml_08.RCC","20210113_30102534541221-01_P0091-9 LUNG D3 IgG1 100ug.ml_09.RCC","20210113_30102534541221-01_P0091-10 LUNG D3 NMC2 30ug.ml_10.RCC","20201209_30102534211221-01_P0094 D3 19 IgG 250_04.RCC","20201208_30102534591221-01_P0094 D3 14 PD1 250_11.RCC","20201209_30102534211221-01_P0094 D3 25 IFN_10.RCC","20201208_30102534591221-01_P0094 D3 10 IgG 250_07.RCC","20201204_30102534581221-01_P0094 IgG 250 D3 1_10.RCC","20201208_30102534591221-01_P0094 D3 7 IFN_04.RCC","20201209_30102534211221-01_P0094 D3 27 nmc2 30_12.RCC","20201209_30102534211221-01_P0094 D3 18 nmc2 30_03.RCC","20201209_30102534211221-01_P0094 D3 23 PD1 250_08.RCC","20201208_30102534591221-01_P0094 D3 8 nmc2 100_05.RCC","20201208_30102534591221-01_P0094 D3 9 nmc2 30_06.RCC","20201209_30102534211221-01_P0094 D3 17 nmc2 100_02.RCC","20201209_30102534211221-01_P0094 D3 16 IFN_01.RCC","20201209_30102534211221-01_P0094 D3 26 nmc2 100_11.RCC","20210112_30102534301221-01_P0091-2 D0 media_05.RCC","20210108_P0090_D0_Control(3).RCC","20210108_P0090_D0_Control(1).RCC","20210108_P0090_D0_Control(2).RCC","20210112_30102534301221-01_P0091-1 D3 IgG1 100ug]mL_07.RCC","20210112_30102534301221-01_P0090-12 D3 IFNy 100ng]mL_03.RCC","20210112_30102534301221-01_P0091-1 D0 media_04.RCC","20210112_30102534301221-01_P0091-3 D3 NMC2 100ug]mL_09.RCC","20210108_P0090_D3_IFNg_100ngml(1).RCC","20210108_P0090_D3_IgG1_100ugml(3).RCC","20210112_30102534301221-01_P0090-11 D3 NMC2 100ug]mL_02.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210108_P0090_D3_IFNg_100ngml(2).RCC","20210108_P0090_D3_NMC2_100ugml(2).RCC","20210108_P0090_D3_NMC2_30ugml(1).RCC","20210108_P0090_D3_IgG1_100ugml(2).RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC","20210108_P0090_D3_NMC2_30ugml(2).RCC","20210108_P0090_D3_NMC2_100ugml(1).RCC","20210112_30102534301221-01_P0091-5 D3 IgG1 100ug]mL_11.RCC","20210112_30102534301221-01_P0091-6 D3 NMC2 30ug]mL_12.RCC","20210112_30102534301221-01_P0091-4 D3 IFNy 100ng]mL_10.RCC","20210113_30102534541221-01_P0091-11 LUNG D3 NMC2 100ug.ml_11.RCC","20210112_30102534301221-01_P0091-2 D3 NMC2 30ug]mL_08.RCC","20210113_30102534541221-01_P0091-12 LUNG D3 IFNy 100ng.ml_12.RCC"
"SIGLEC1 - mRNA",7.18915358920855,3.86987594542993,3.76837321281131,4.26418427134966,3.15322408847478,3.28005479309131,3.33577321212547,3.6736857632649,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.00247237281457,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,7.533051282816,8.11694958925612,4.99184601639063,7.92362027971155,3.94271801654841,4.78849852392578,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373,6.20555702386624,5.21155088341217,4.80054714050218,4.50033896539574,4.52150377002877,5.47500158825867,4.27467830509831,4.38219183199292,6.7097471825245,6.14375920963854,6.6671734932286,6.46555806286544,3.19980204416031,7.86970839068429,7.64611062211572,7.30352951474652,4.09524779768106,7.67022833364909,7.14742792240705,7.87663543914425,7.67857703466831,3.93411062164778,6.63601706727374,4.35155787445556,5.46686086207248,5.83997694103187,6.36189653675834,6.77404111862036,7.13088881119443,6.71411531199821,6.79496768913462,5.73138347222738,6.52563394953421
"CD5 - mRNA",6.77411603061328,3.98535323875698,3.8300900904214,4.26418427134966,3.28837746329454,3.39842165501467,3.25200336261259,3.6736857632649,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.00247237281457,4.11375199925841,3.77485757206847,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,8.27001694708619,8.15257327641515,8.29290166826905,8.2735627121917,4.81220318713504,5.11042659793206,4.72496425836294,4.62715715144364,4.63754162210693,4.09456275091373,6.27955759846801,5.60386831175309,4.32661586588887,4.43620868882231,4.58861798301878,5.67663537045233,5.4737445131578,4.38219183199292,3.47136437156448,6.64899462176469,6.38477373643857,6.34270122620049,3.19980204416031,6.79931897890579,7.13153750587477,7.04049508699455,7.62049604858206,7.56331324687139,7.31735285148549,2.54527724159701,7.2065085510545,7.43805614000572,6.73555272051688,6.39275645051219,5.46686086207248,5.95100825062212,5.91123507161777,6.95461327043656,6.28289202198539,6.3661919985843,6.62504269743652,5.55081123201664,6.47316653949942
"CLEC5A - mRNA",6.18915358920855,3.02725899348659,3.76837321281131,4.26418427134966,4.22697702135309,3.752058544194,3.64062775282772,4.14596311313458,3.58216372449965,3.97666653322892,4.34440187330421,3.86055981959543,4.35004308026861,4.56121100956243,3.92395855542951,4.12105553054116,4.31271417731312,4.41052733214867,4.12022759048781,4.0848124687923,3.93815666819349,8.27001694708619,8.34961032702861,8.02441296438544,7.92362027971155,5.64509326075994,5.95842358337107,4.98022134899074,4.84128198900595,5.16110357816394,5.69626791026011,6.60148562278491,6.3408339059193,5.64854398953653,5.26217916772614,5.37711371687933,6.10726977027527,5.54085866917313,6.42907299363566,3.47136437156448,7.56460237558608,8.14110459525145,8.0307572094654,3.19980204416031,7.56485375727068,6.49410750066207,6.88849196676063,7.50946478164692,7.76976411060906,6.84786758418782,6.87663543914425,6.8372747055733,7.76736372739653,6.9161249327106,7.11973793643215,6.20382636490237,5.95100825062212,6.46377617310239,5.86715051642078,6.54592635679403,7.29907774859379,6.94697086832873,5.81384556603949,6.4187187660948
"CCR2 - mRNA",6.77411603061328,4.45483844615109,4.67808706460198,4.26418427134966,3.70341503640532,3.28005479309131,3.49623786175689,4.21009339032103,3.96530287511892,3.77884282319957,3.91440445965446,3.86055981959543,4.56154713722873,4.15682065742583,4.32449647349221,4.12105553054116,4.38866312361939,4.45234747489338,4.12022759048781,4.27957262246896,3.93815666819349,7.71362354770205,8.22128619734537,8.11957014779286,5.4308195266067,4.76639952071312,5.52546405544876,5.47120768919727,5.30522918061302,5.47043160373219,5.03468413653634,6.7649843354354,6.3408339059193,6.30643806294079,5.99914472429989,6.03607683607231,5.73803584812792,6.12582113890512,5.84411065197207,3.47136437156448,6.3188458952095,6.56763769698669,6.27711297345233,3.19980204416031,6.93682248616989,7.64611062211572,6.71856705512193,7.25792599956958,7.2551908320093,6.95478275142539,7.13967000662845,7.46176556775313,6.85309354361047,6.58354960601191,6.66405855964985,6.35582961296675,6.40557413866893,7.13362749295422,6.95461327043656,6.42039550699433,7.36619198983991,7.4995118685029,7.1033521669138,6.88820414027154
"ITGAM - mRNA",6.77411603061328,3.45483838036493,4.09312447934879,4.26418427134966,3.610305676313,3.28005479309131,3.25200336261259,3.6736857632649,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.18957829155812,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.27726068968063,4.12022759048781,4.0848124687923,3.93815666819349,8.32660051050454,8.60237628131166,8.49571854787526,8.80578371899956,3.94271801654841,4.28387185478812,4.29432990166121,3.98330101275111,4.23441678277783,4.09456275091373,3.92780564260213,3.88452124220172,4.74165347301883,4.22470449594284,4.12918631191633,5.79692957934902,5.88878198808802,5.30354219070007,7.2622881535543,5.99691788616535,6.56763769698669,6.40543703638894,3.19980204416031,7.17783070977035,7.4116454553289,6.88849196676063,7.56604834351135,7.76976411060906,7.05431846916995,7.13967000662845,4.26985221203887,7.51020579325851,6.68664317885846,6.48897180398796,6.20382636490237,6.44404830977115,6.32627271473232,6.03707552884819,5.96096384835275,6.22868851505859,7.24953347780669,6.03623802401417,6.11059641371779
"TREM1 - mRNA",7.5110817117769,3.02725899348659,4.01066232412929,4.26418427134966,3.15322408847478,3.55042469373196,3.77187227101804,3.6736857632649,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.18957829155812,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,7.71362354770205,7.49546104141786,7.77443459711337,7.83615748302565,4.13413122040004,5.06151687792496,4.23019963108508,4.07076377888058,4.39242905557595,4.09456275091373,5.95762948965226,5.21155088341217,4.80054714050218,4.14670197536785,4.21664925501079,5.73803584812792,5.40335509274161,4.38219183199292,7.38781921340574,6.23395708415075,6.76028280534835,6.43581075280117,3.19980204416031,7.79931897890579,7.64611062211572,6.52592196739464,7.03553360651072,7.2551908320093,7.23489065351531,6.87663543914425,7.11029324522623,7.05954449345743,6.82866210713906,6.74422892217568,6.49333300700726,7.32540387434484,6.91123507161777,6.95461327043656,7.35328132958389,6.71411531199821,6.74051987662916,6.77320361378379,6.4187187660948
"FCGR1A - mRNA",6.5110817117769,4.80847530637695,3.92319939337445,4.91589644017189,3.16284679599449,3.28005479309131,3.33577321212547,4.44141893931449,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.27204051324531,3.97624850884127,4.03498986429794,4.25864954526119,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,8.08559240037893,8.92430437471424,8.39787122391617,8.05854984844434,4.51264294477764,4.72709793840736,4.52565554308167,4.79065596087105,4.54443221771545,4.38260742738143,6.1275545194672,5.60386831175309,4.96404590976258,4.78413190180102,4.58861798301878,6.10726977027527,5.40335509274161,5.75100123586055,6.97278157916972,7.83341911412351,8.29426147309475,8.13625035044228,3.19980204416031,7.56485375727068,7.23107319725973,7.52592195956672,7.25792599956958,7.67022833364909,6.95478275142539,7.0141390064226,7.0071997743053,6.96000882685923,6.52910188678928,6.89232749978619,5.5193282773066,6.44404830977115,6.21379796603665,5.86715051642078,7.20889130694281,7.1546878759018,7.24953347780669,5.73138347222738,6.17771059913702
"COL17A1 - mRNA",7.18915358920855,4.28491346937859,3.76837321281131,4.26418427134966,3.610305676313,3.28005479309131,3.25200336261259,4.14596311313458,4.06839634578844,3.77884282319957,3.91440445965446,3.86055981959543,5.00900607754241,4.15682065742583,4.32449647349221,4.57180736250481,4.26652061062843,4.64499252812333,4.16157275361933,4.12345331867659,3.93815666819349,3.89990153342207,8.04294882620067,7.88690936804884,7.97911524913649,4.81220318713504,5.29099891972839,4.94069302670178,4.73818848113006,5.06380650621018,4.09456275091373,6.65806926314974,6.11844148161637,5.40461849141763,4.6772167985786,5.12918631191633,6.10726977027527,5.72528324898752,6.01403562830003,7.05078412502363,6.23395708415075,6.12951665279282,5.49470437652837,3.19980204416031,7.86970839068429,7.49410750066207,7.17799854299741,7.45057106455141,7.38643550037423,7.14742792240705,6.72463240162888,7.25231230263246,7.0106348124209,6.2880937176994,6.28966306120229,5.5193282773066,5.83997694103187,6.09180741879068,6.32658214404588,7.13088881119443,6.81365106066764,6.49951187647544,5.64392059024394,6.71827909011246
"LAG3 - mRNA",7.35907860602919,3.86987594542993,3.8300900904214,4.42404337520478,4.40385477158455,3.47642407340266,3.25200336261259,4.14596311313458,3.66984712174103,3.77884282319957,3.91440445965446,3.86055981959543,4.42404364402674,4.46167529672643,3.77485757206847,4.16845165848926,4.49557825866191,4.32306441882038,4.12022759048781,4.0848124687923,3.93815666819349,8.53305127892134,8.40973120230871,8.54226107214794,7.80578371899956,4.51264294477764,5.41298931264586,4.85823090795938,4.44273268114378,5.19213039485903,4.16021504062683,6.71251702706657,6.16574718500725,5.54900834885453,5.2247044573611,5.41458846947314,5.61250510611104,6.29088042705287,6.09203817202469,6.38781922202002,6.71312489168131,6.56763769698669,6.0603016059985,3.19980204416031,7.56485375727068,7.4116454553289,7.41900668158606,7.67296350120489,7.76976411060906,7.05431846916995,6.87663543914425,7.38159522468096,6.90754141683623,4.45440721921336,6.53477556537811,5.79943617429573,6.10301128809736,6.43060925747148,6.03707552884819,6.54592635679403,6.99422333950387,7.36200827698641,5.64392059024394,6.71827909011246
"IL2 - mRNA",6.18915358920855,4.60684151986029,3.8300900904214,4.26418427134966,3.15322408847478,3.28005479309131,3.25200336261259,3.93445894360503,3.8542715885919,3.77884282319957,3.91440445965446,3.86055981959543,4.00247237281457,3.85844168851072,4.23429866684342,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,8.53305127892134,8.46744671854795,7.73490628069885,8.22847479276636,4.51264294477764,5.45146355313326,5.83685717995925,5.5682634830662,5.65990946367,5.20752065389072,6.41706109351704,6.11844148161637,6.44209305012385,6.53136587932573,6.58861799800883,5.54539086672292,6.16888983709941,6.09203817202469,7.05078412502363,6.23395708415075,6.34524537704776,5.93831108352748,3.19980204416031,6.93682248616989,7.49410750066207,7.04049508699455,7.77249923366744,7.2551908320093,6.60685947443669,6.87663543914425,6.77587416529762,6.90754141683623,6.73555272051688,6.2352151913558,6.06952531997279,6.10301128809736,6.04873863023697,6.95461327043656,5.96096384835275,6.49172284714798,7.16936323287035,5.81384556603949,6.57626001342479
"CSF3R - mRNA",7.5110817117769,4.28491346937859,3.76837321281131,4.26418427134966,3.15322408847478,3.28005479309131,3.25200336261259,3.68653145375125,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.18957829155812,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,7.87408823508811,7.79502141771715,7.92253322887039,7.80578371899956,4.2716348337825,5.0108908557719,4.41462422067134,4.56826345266013,4.23441678277783,4.09456275091373,6.54259207549129,6.01890581103194,5.80054714050218,5.33432892689219,5.2991112858769,3.79098780053728,4.27467830509831,5.6514655202132,6.97278157916972,6.14375920963854,5.98267525710405,6.09877569009304,7.20896020132605,6.64731579047093,6.64611061491351,6.30352951474652,4.09524779768106,7.38643550037423,6.95478275142539,2.54527724159701,6.77587416529762,7.05954449345743,6.95794514185333,6.57916963145516,6.46686086207248,6.28358366584438,6.7322649522835,6.56759024216694,6.96096384835275,6.90676043459948,6.74051987662916,6.3443603971623,6.24184106046678
"BCL6B - mRNA",6.77411603061328,4.3723762279125,5.01066227937704,4.26418427134966,3.15322408847478,3.31595945458169,3.25200336261259,4.49388637580886,4.01777032799995,3.77884282319957,3.93914531803982,3.86055981959543,4.00247237281457,4.06935777573496,3.77485757206847,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,8.01847815672223,8.18733877955819,4.99184601639063,7.74304792038089,4.81220318713504,4.28387185478812,4.94069302670178,4.62715715144364,4.44489647792346,4.34078720083113,6.1275545194672,5.96643828895889,5.51424294271906,5.02117112290229,5.25846928881647,5.32299853806237,5.54085866917313,4.38219183199292,3.47136437156448,6.18956293304606,6.72990914497851,6.57876862803524,7.79392265329085,7.38428141054345,7.23107319725973,6.52592196739464,7.81980497505105,7.2551908320093,7.31735285148549,7.0141390064226,6.77587416529762,7.10685011613101,6.87305626149766,6.82017769846057,6.38439867501688,6.44404830977115,6.67676986310567,6.67450532548886,7.04842666916746,2.76562024472676,7.56364224301224,6.16748245597973,7.39070440414345
"COL5A1 - mRNA",6.5110817117769,4.28491346937859,4.31551696106526,4.26418427134966,4.0957324697315,3.68792828464778,3.25200336261259,4.27149395447241,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.96009653267979,4.46167529672643,4.13808335422729,4.12114598382671,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,7.87408823508811,8.34961032702861,8.31986875207341,8.03255462328365,4.85659733450365,5.11042659793206,4.85823090795938,4.73818848113006,4.9950935814872,4.09456275091373,6.20555702386624,5.60386831175309,5.51424294271906,4.83475803084301,5.17358044376649,6.19746747905179,5.98831769572701,6.0535639979168,6.7097471825245,6.91748344467112,6.6671734932286,6.20840018434808,7.20896020132605,7.47739080791864,7.78361426044629,7.30352951474652,7.50946478164692,7.50672960164952,7.31735285148549,6.72463240162888,7.33977512328771,6.85309354361047,6.73555272051688,7.02662862955034,5.46686086207248,6.10301128809736,6.61905427315769,2.8094449030964,6.76831882003973,6.90676043459948,7.43239751509185,5.81384556603949,6.84756206634412
"CD45RB - mRNA",6.77411603061328,4.1918040008456,4.31551696106526,4.51150618087574,3.87334006245828,3.28005479309131,3.25200336261259,4.33038766145423,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.27204051324531,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.41052733214867,4.12022759048781,4.0848124687923,3.93815666819349,8.2111232151913,8.52294184813521,8.26542089893891,7.92362027971155,4.76639952071312,5.0108908557719,4.98022134899074,4.5068629608761,4.44489647792346,4.09456275091373,6.60148562278491,5.91199061053829,5.28597389371737,5.26217916772614,4.82962598566383,5.73803584812792,5.78186663995269,4.38219183199292,6.61021158182585,7.54711493621781,7.40413899938177,7.43581076113361,7.4016053133979,6.79931897890579,7.4116454553289,6.71856705512193,7.77249923366744,7.4478359099517,6.84786758418782,7.55470746242538,7.11029324522623,7.19704807226724,7.1862141572639,6.48897180398796,5.71197336704466,6.054101806311,6.04873863023697,2.8094449030964,6.42039550699433,6.3661919985843,7.16936323287035,5.73138347222738,7.0036814073451
"CCL19 - mRNA",6.77411603061328,3.02725899348659,3.76837321281131,4.26418427134966,3.40385477158455,3.28005479309131,3.25200336261259,3.6736857632649,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.80255518973568,3.85844168851072,3.77485757206847,4.21425538821819,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,7.533051282816,7.9243043776838,7.77443459711337,8.08408495659579,3.94271801654841,5.20353606235663,4.57812284665382,4.5068629608761,4.23441678277783,4.09456275091373,6.20555702386624,5.91199061053829,5.15669091837212,4.0231318395412,3.93943675951073,3.79098780053728,5.78186663995269,5.3676725741793,6.61021158182585,6.27702583592146,6.63475190390678,6.13625035556994,7.10204489764652,8.00095281079005,7.49410750066207,8.04049508699455,7.50946478164692,7.61776091873915,7.39535539728831,7.64217026711481,7.05966726389232,6.85309354361047,7.1862141572639,6.66405855964985,5.5193282773066,6.24051491869874,6.04873863023697,7.18907861130815,6.86785446712164,7.49172283913228,7.43239751509185,5.22888324484569,6.88820414027154
"IL10 - mRNA",6.5110817117769,3.02725899348659,4.17112698690101,4.26418427134966,3.16284679599449,3.28005479309131,3.25200336261259,4.14596311313458,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.00247237281457,3.92733888939512,3.77485757206847,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,7.71362354770205,8.60237628131166,8.26542089893891,7.71062642646526,4.56709070071005,4.59585343106833,5.05617016823711,4.5068629608761,4.68193568526083,4.38260742738143,6.04509238962028,5.67098249143081,5.91157841454386,4.50033896539574,4.65274827872707,5.40100095901364,5.72528324898752,5.702091601201,3.47136437156448,7.14375920963854,6.79003014656959,6.89524225326924,6.98656773448367,6.93682248616989,6.49410750066207,7.52592195956672,7.62049604858206,7.18480165946758,6.73239031458239,7.87663543914425,7.0071997743053,6.67621579183532,6.82866210713906,6.74422892217568,5.56995431566748,6.00347570299873,6.17426954137854,5.86715051642078,6.6614035468966,6.3661919985843,6.89806114849799,5.81384556603949,6.88820414027154
"TNFRSF18 - mRNA",6.5110817117769,4.53284088544134,4.38263101201175,4.26418427134966,3.610305676313,3.31595945458169,3.25200336261259,4.33038766145423,3.8542715885919,3.77884282319957,3.91440445965446,3.86055981959543,4.56154713722873,4.19864093017772,3.80366422253074,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,7.62616074854846,8.08042362208855,8.29290166826905,8.05854984844434,4.2045205169912,5.24793013307168,4.2110489614867,3.85032798039789,4.4955226172345,4.09456275091373,6.1275545194672,5.29901374069462,5.1108872444148,4.29870515840826,4.45111448924894,5.96042835055578,5.93940803177171,5.702091601201,3.47136437156448,6.14375920963854,6.2627830581985,5.80504458074451,6.72353346971827,6.79931897890579,6.64611061491351,6.52592196739464,7.32504023570225,7.50672960164952,6.84786758418782,7.2551471728932,7.29670634256233,6.61208556663003,6.78285847198025,4.35155787445556,5.66616971028183,5.89656050427173,5.86232549097623,5.86715051642078,6.54592635679403,6.71411531199821,6.79496768913462,5.10335218789752,6.17771059913702
"CD247 - mRNA",1.72672268392744,3.60684157906784,3.76837321281131,4.26418427134966,3.70341503640532,3.28005479309131,3.25200336261259,3.77399421590636,4.06839634578844,3.77884282319957,3.91440445965446,3.86055981959543,4.00247237281457,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.57099188294747,4.12022759048781,4.0848124687923,3.93815666819349,8.2111232151913,7.9243043776838,8.02441296438544,7.95163466742219,3.94271801654841,4.72709793840736,4.2110489614867,4.68374068879149,4.33798141158456,4.09456275091373,6.81561049678706,5.67098249143081,5.06358154633597,4.56173951537186,4.77304249179763,5.90796099072935,5.66638948153136,5.79830685298999,6.38781922202002,6.47496521019422,6.38477373643857,5.98013121284049,3.19980204416031,7.28474574501116,6.90914506396057,7.04049508699455,7.81980497505105,6.95033625825809,7.90231530697922,6.36206246450432,7.29670634256233,7.0106348124209,6.52910188678928,6.96104027557121,5.46686086207248,6.51804882410639,6.32627271473232,6.18907861130815,6.28289202198539,5.71411531199821,6.84743513547733,5.10335218789752,6.36213512642935
"MYCT1 - mRNA",1.72672268392744,3.02725899348659,3.76837321281131,4.26418427134966,3.16284679599449,3.28005479309131,3.25200336261259,3.6736857632649,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.00247237281457,3.97624850884127,3.77485757206847,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,8.71362354770205,8.6776643777879,8.02441296438544,7.97911524913649,4.13413122040004,4.28387185478812,4.2110489614867,3.98330101275111,4.28139781188165,4.09456275091373,6.1275545194672,3.88452124220172,4.32661586588887,4.50033896539574,4.52150377002877,5.79692957934902,5.6049890887815,5.3676725741793,3.47136437156448,7.14375920963854,7.1060575985559,7.09877570061824,7.20896020132605,6.64731579047093,6.49410750066207,6.71856705512193,7.91000273642341,7.56331324687139,7.31735285148549,6.87663543914425,7.0071997743053,7.40058137372345,6.73555272051688,6.74422892217568,5.92142666646911,6.054101806311,6.46377617310239,2.8094449030964,6.42039550699433,6.3661919985843,7.32548238184765,5.891848115836,7.04020726172873
"P2RY13 - mRNA",1.72672268392744,3.02725899348659,3.8300900904214,4.26418427134966,3.15322408847478,3.28005479309131,3.25200336261259,3.6736857632649,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.00247237281457,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,7.94808886972482,8.60237628131166,7.60937524162092,7.77475680221392,3.94271801654841,4.28387185478812,4.52565554308167,3.98330101275111,4.23441678277783,4.09456275091373,6.04509238962028,3.88452124220172,4.6161226399582,4.50033896539574,4.88407378659805,5.54539086672292,4.27467830509831,4.38219183199292,3.47136437156448,6.54711493621781,6.12951665279282,6.31027980102777,6.98656773448367,2.91043833744184,6.90914506396057,6.52592196739464,7.18753677583396,3.91156206901603,6.95478275142539,6.55470747009866,6.95275191522904,6.54497127736634,6.47251831468308,6.57916963145516,6.0339015224831,6.28358366584438,6.43060925747148,6.18907861130815,6.28289202198539,2.76562024472676,6.68393631750107,5.96584866204921,6.11059641371779
"NCR1 - mRNA",1.72672268392744,4.09226842315452,4.38263101201175,4.26418427134966,3.51076992682067,3.55042469373196,3.25200336261259,4.49388637580886,3.66984712174103,3.77884282319957,3.91440445965446,3.86055981959543,4.27204051324531,3.85844168851072,4.03498986429794,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,8.62616075219971,8.34961032702861,7.77443459711337,8.109175791081,4.67018425663441,4.28387185478812,4.47120768919727,4.62715715144364,4.88546913555051,4.50125186927712,6.54259207549129,6.0695318718268,5.77140080540766,5.43620865550172,5.62103938076426,5.79692957934902,5.98831769572701,4.38219183199292,3.47136437156448,6.47496521019422,6.53287226510026,6.34270122620049,7.92516721455101,2.91043833744184,7.02462229246083,7.04049508699455,7.67296350120489,7.2551908320093,6.73239031458239,6.55470747009866,6.95275191522904,7.43805614000572,6.99858706768376,6.96104027557121,6.49333300700726,7.21848858947201,7.09180741879068,6.67450532548886,6.96096384835275,7.07668529977496,7.74051987662916,6.92932280318771,7.55116915235296
"CD69 - mRNA",7.18915358920855,5.03980092494353,5.31551692483725,5.2820243587452,3.95134253819123,4.22849664502114,3.7077419960075,5.0440833818463,4.38034046676106,4.48568011384534,3.91440445965446,4.4882068094899,5.65670437936845,5.09172576856822,4.92395850790525,5.30171819289235,5.08054071674677,4.90802689551555,4.65255911543321,4.35172245170807,4.53266325186358,7.87408823508811,7.88248418521993,7.60937524162092,8.46064824419064,5.13413126148162,6.26962508744097,5.60365803200692,5.5682634830662,4.92294393608456,4.80791329154546,7.31518149596893,6.73511273282084,5.64854398953653,5.53136586372886,5.2991112858769,6.82549871322867,6.4737445131578,6.36767255670845,6.7097471825245,8.23395708415075,7.74517596114864,8.43581076113361,6.86103700339678,2.91043833744184,7.64611062211572,7.30352951474652,7.11353616365691,6.95033625825809,7.60685948183754,7.55470746242538,7.2065085510545,6.32257887405545,4.45440721921336,6.2352151913558,5.88189830426612,6.00347570299873,6.28974663586197,2.8094449030964,6.13088881119443,6.07668529977496,6.79496768913462,5.891848115836,6.57626001342479
