"","< 25","25 - 50","50 - 100","> 100"
"NM_001166663.1:1037",1,0,0,0
"NM_001322.2:201",1,0,0,0
"NM_004131.4:621",1,0,0,0
"NM_020056.4:90",1,0,0,0
"NM_001192.2:305",0.986301369863014,0.0136986301369863,0,0
"NM_001098725.1:370",0.986301369863014,0.0136986301369863,0,0
"NM_001783.3:618",0.972602739726027,0.0273972602739726,0,0
"NM_001288998.1:1706",0.958904109589041,0.0410958904109589,0,0
"ERCC_00076.1:355",0.958904109589041,0.0410958904109589,0,0
"NM_006301.3:2680",0.945205479452055,0.0547945205479452,0,0
"NM_003014.2:1060",0.945205479452055,0.0273972602739726,0,0.0273972602739726
"ERCC_00144.1:15",0.945205479452055,0.0410958904109589,0.0136986301369863,0
"NM_000639.2:605",0.931506849315068,0.0684931506849315,0,0
"NM_000537.3:356",0.931506849315068,0.0273972602739726,0,0.0410958904109589
"ERCC_00096.1:230",0.931506849315068,0.0684931506849315,0,0
"NM_172348.1:535",0.917808219178082,0.0821917808219178,0,0
"NM_022153.1:185",0.917808219178082,0.0821917808219178,0,0
"NM_012242.2:525",0.917808219178082,0.0821917808219178,0,0
"ERCC_00154.1:115",0.917808219178082,0.0821917808219178,0,0
"NM_002104.2:634",0.904109589041096,0.0821917808219178,0.0136986301369863,0
"NM_006144.3:215",0.904109589041096,0.0958904109589041,0,0
"NM_001085357.1:382",0.904109589041096,0.0821917808219178,0.0136986301369863,0
"NM_021798.3:744",0.904109589041096,0.0958904109589041,0,0
"ERCC_00098.1:785",0.904109589041096,0.0958904109589041,0,0
"NM_000095.2:1271",0.89041095890411,0.10958904109589,0,0
"NM_000578.3:1679",0.89041095890411,0.0821917808219178,0.0273972602739726,0
"NM_001271893.3:617",0.89041095890411,0.10958904109589,0,0
"NM_002258.2:85",0.89041095890411,0.10958904109589,0,0
"NM_014442.2:1672",0.89041095890411,0.10958904109589,0,0
"NM_001778.3:413",0.876712328767123,0.10958904109589,0.0136986301369863,0
"NM_001243.3:549",0.876712328767123,0.123287671232877,0,0
"NM_001039933.1:884",0.863013698630137,0.136986301369863,0,0
"NM_004369.3:3293",0.863013698630137,0.0958904109589041,0.0136986301369863,0.0273972602739726
